Age,State,Insurance Type,Annual Premium (AUD),Claim Amount (AUD),Claim Status,Policy Start Date,Policy End Date,Product Tier,Payment Frequency,Risk Score
54,VIC,Life,3226.72,8762.05,Approved,21-02-2023,21-02-2024,Premium,Annually,0.72
38,TAS,Health,4255.91,5699.27,Approved,10-07-2023,09-07-2024,Premium,Annually,0.49
56,QLD,Health,6318.77,12724.0,Approved,23-09-2023,22-09-2024,Premium,Annually,0.75
78,ACT,Car,3404.39,6785.4,Approved,12-08-2024,12-08-2025,Gold,Annually,0.81
23,NSW,Life,1816.43,602.24,Approved,30-06-2023,29-06-2024,Basic,Monthly,0.22
35,NSW,Home,3255.23,3016.8,Pending,05-08-2023,04-08-2024,Standard,Monthly,0.44
36,QLD,Car,2689.32,3881.22,Approved,29-07-2023,28-07-2024,Standard,Monthly,0.5
24,TAS,Health,2054.87,502.71,Approved,07-03-2024,07-03-2025,Basic,Quarterly,0.22
36,SA,Home,1591.56,2556.35,Approved,14-12-2023,13-12-2024,Standard,Monthly,0.41
25,VIC,Travel,1292.63,1493.51,Approved,18-10-2024,18-10-2025,Basic,Monthly,0.24
43,TAS,Life,6427.67,2786.31,Approved,10-06-2024,10-06-2025,Premium,Annually,0.43
35,QLD,Travel,1446.38,880.84,Approved,27-11-2023,26-11-2024,Standard,Monthly,0.54
33,TAS,Health,4258.15,7885.77,Rejected,22-10-2024,22-10-2025,Basic,Monthly,0.53
27,VIC,Life,2783.19,2136.92,Pending,11-05-2023,10-05-2024,Standard,Quarterly,0.16
41,VIC,Life,6349.92,10137.29,Rejected,20-08-2024,20-08-2025,Premium,Quarterly,0.52
74,NSW,Car,1109.95,1963.78,Approved,07-05-2023,06-05-2024,Gold,Annually,0.81
29,NSW,Travel,749.98,430.96,Approved,17-08-2023,16-08-2024,Basic,Monthly,0.12
40,NT,Life,1796.2,1513.87,Approved,25-02-2024,24-02-2025,Premium,Annually,0.51
42,WA,Health,4510.09,2720.87,Approved,05-02-2024,04-02-2025,Premium,Annually,0.55
