iter	Passed	Remaining
0	92	46111
1	190	47426
2	294	48726
3	411	51026
4	519	51410
5	630	51870
6	736	51899
7	851	52364
8	960	52389
9	1082	53060
10	1184	52675
11	1302	52985
12	1413	52950
13	1534	53265
14	1672	54085
15	1793	54259
16	1933	54932
17	2066	55340
18	2266	57369
19	2493	59840
20	2684	61225
21	2892	62845
22	3105	64407
23	3341	66267
24	3498	66465
25	3677	67052
26	3871	67827
27	4041	68135
28	4219	68525
29	4409	69084
30	4597	69549
31	4745	69395
32	4902	69384
33	5057	69315
34	5261	69898
35	5426	69944
36	5613	70240
37	5794	70450
38	5974	70618
39	6154	70771
40	6325	70815
41	6492	70802
42	6698	71187
43	6887	71376
44	7082	71611
45	7262	71674
46	7377	71101
47	7533	70945
48	7686	70748
49	7871	70847
50	8077	71112
51	8324	71718
52	8509	71772
53	8689	71768
54	8860	71689
55	9034	71628
56	9213	71609
57	9375	71444
58	9557	71438
59	9714	71241
60	9891	71185
61	10030	70858
62	10199	70751
63	10349	70506
64	10528	70460
65	10736	70597
66	10904	70473
67	11098	70507
68	11266	70372
69	11424	70181
70	11578	69962
71	11738	69778
72	11876	69467
73	12057	69411
74	12218	69235
75	12371	69018
76	12518	68773
77	12682	68615
78	12844	68452
79	13005	68278
80	13153	68043
81	13206	67318
82	13366	67156
83	13512	66917
84	13641	66604
85	13778	66327
86	13867	65829
87	13993	65514
88	14113	65176
89	14235	64849
90	14358	64532
91	14483	64230
92	14616	63966
93	14683	63421
94	14810	63140
95	14950	62915
96	15094	62713
97	15247	62544
98	15401	62384
99	15534	62136
100	15660	61866
101	15821	61734
102	16006	61694
103	16198	61678
104	16363	61559
105	16527	61431
106	16693	61314
107	16906	61364
108	17170	61593
109	17384	61637
110	17680	61960
111	17995	62341
112	18293	62651
113	18553	62820
114	18767	62830
115	18976	62819
116	19152	62695
117	19345	62625
118	19561	62630
119	19737	62501
120	19907	62354
121	20065	62168
122	20237	62027
123	20420	61919
124	20601	61803
125	20778	61677
126	20931	61477
127	21090	61294
128	21248	61110
129	21411	60941
130	21568	60755
131	21734	60592
132	21894	60416
133	22047	60218
134	22187	59989
135	22353	59827
136	22511	59647
137	22642	59395
138	22780	59164
139	22927	58957
140	23088	58786
141	23250	58616
142	23390	58395
143	23557	58238
144	23721	58076
145	23845	57816
146	24000	57634
147	24173	57492
148	24361	57389
149	24526	57229
150	24680	57042
151	24834	56858
152	24997	56694
153	25170	56552
154	25334	56390
155	25501	56234
